lead_rank,city,clinic_name,address,contact_email,contact_phone,official_website,listing_url,email_candidates
1,Amsterdam,Dental Clinics Amsterdam Reguliersgracht,"Reguliersgracht 142, Amsterdam",reguliersgracht@dentalclinics.nl,08 128 128 128 128-57,https://www.dentalclinics.nl/tandarts/amsterdam-reguliersgracht/,https://www.tandarts.nl/tandarts-amsterdam/dental-clinics-amsterdam-reguliersgracht,reguliersgracht@dentalclinics.nl
2,Amsterdam,Dental Clinics Amsterdam IJburglaan,"IJburglaan 388, Amsterdam",amsterdam@dentalclinics.nl,08 128 128 128 128-57,https://www.dentalclinics.nl/tandarts/amsterdam-ijburglaan,https://www.tandarts.nl/tandarts-amsterdam/dental-clinics-amsterdam-ijburglaan,amsterdam@dentalclinics.nl
3,Amsterdam,Mondzorgcentrum Amsterdam,"Ottho Heldringstraat 25 N, Amsterdam",info@mondzorgcentrum-amsterdam.nl,020 737 17 82,https://mondzorgcentrum-amsterdam.nl/,https://www.tandarts.nl/tandarts-amsterdam/mondzorgcentrum-amsterdam,info@mondzorgcentrum-amsterdam.nl
4,Rotterdam,Dental Clinics Rotterdam Ommoord,"Sinclair Lewisplaats 510A, Rotterdam",ommoord@dentalclinics.nl,03-2024-35-1-568,https://www.dentalclinics.nl/tandarts/rotterdam-ommoord/,https://www.tandarts.nl/tandarts-rotterdam/dental-clinics-rotterdam-ommoord,ommoord@dentalclinics.nl
5,Rotterdam,Dental Clinics Rotterdam Zuiderterras,"Zuiderterras 6, Rotterdam",zuiderterras@dentalclinics.nl,08 128 128 128 128-57,https://www.dentalclinics.nl/tandarts/rotterdam-zuiderterras/,https://www.tandarts.nl/tandarts-rotterdam/dental-clinics-rotterdam-zuiderterras,zuiderterras@dentalclinics.nl
6,Rotterdam,Dental Clinics Rotterdam Berglustlaan,"Berglustlaan 16, Rotterdam",berglustlaan@dentalclinics.nl,08 128 128 128 128-57,https://www.dentalclinics.nl/tandarts/rotterdam-berglustlaan/,https://www.tandarts.nl/tandarts-rotterdam/dental-clinics-rotterdam-berglustlaan,berglustlaan@dentalclinics.nl
7,Rotterdam,Mondzorg Centrum Rotterdam,"Heer Bokelweg 216, Rotterdam",info@mondzorgcentrum-rotterdam.nl,010-2827206,https://www.mondzorgcentrum-rotterdam.nl/de-praktijk/het-team/,https://www.tandarts.nl/tandarts-rotterdam/mondzorg-centrum-rotterdam,info@mondzorgcentrum-rotterdam.nl
8,Rotterdam,Dental Clinics Rotterdam Pleinweg,"Goereesestraat 2, Rotterdam",pleinweg@dentalclinics.nl,08 128 128 128 128-57,https://www.dentalclinics.nl/tandarts/rotterdam-pleinweg/,https://www.tandarts.nl/tandarts-rotterdam/dental-clinics-rotterdam-pleinweg,pleinweg@dentalclinics.nl
9,Rotterdam,Dental Clinics Rotterdam Eudokiaplein,"Eudokiaplein 35C, Rotterdam",eudokiaplein@dentalclinics.nl,08 128 128 128 128-57,https://www.dentalclinics.nl/tandarts/rotterdam-eudokiaplein/,https://www.tandarts.nl/tandarts-rotterdam/dental-clinics-rotterdam-eudokiaplein,eudokiaplein@dentalclinics.nl
10,Rotterdam,JTV Mondzorg voor Kids Rotterdam - Beukelsdijk,"Beukelsdijk 107, Rotterdam",info@mondzorgvoorkids.nl,,https://mondzorgvoorkids.nl/,https://www.tandarts.nl/tandarts-rotterdam/jtv-mondzorg-voor-kids-rotterdam-beukelsdijk,info@mondzorgvoorkids.nl; andesdreef@mondzorgvoorkids.nl; arnhem@mondzorgvoorkids.nl; baliebeukelsdijk@mondzorgvoorkids.nl; balierusthoflaan@mondzorgvoorkids.nl
