lead_rank,quality_tier,quality_score,region_bucket,city,clinic_name,address,contact_email,contact_phone,official_website,contact_url,listing_url,total_ratings,google_score,google_total,tandarts_score,tandarts_total,practice_type,popular,subscription,verification_status,quality_reasons,email_candidates,already_contacted
1,A,107,core_brainport,Eindhoven,Dental Clinics Eindhoven,"Kerstrooslaan 2, Eindhoven",eindhoven@dentalclinics.nl,+31402118136,https://www.dentalclinics.nl/tandarts/eindhoven/,https://www.dentalclinics.nl/tandarts/eindhoven/contact,https://www.tandarts.nl/tandarts-eindhoven/dental-clinics-eindhoven,2023,4.6,605,9.4,987,tandarts_with_mond,True,"start_tariff,report_monitor,appointment,click,blog_service_zuid",official_site_and_email_verified,"official_website, public_email, public_phone, core_region, high_review_volume, popular_listing, general_practice_fit, appointment_flow_signal, email_matches_practice_domain",eindhoven@dentalclinics.nl,no
2,A,107,core_brainport,Eindhoven,pc2-tandartsen,"P.Czn. Hooftlaan 2, Eindhoven",receptie@pc2-tandartsen.nl,//040-2930399,https://www.pc2-tandartsen.nl,https://www.pc2-tandartsen.nl/contact,https://www.tandarts.nl/tandarts-eindhoven/pc2-tandartsen,1203,4.6,340,9.4,289,tandarts_with_mond,True,"start_tariff,appointment_request,appointment,click",official_site_and_email_verified,"official_website, public_email, public_phone, core_region, high_review_volume, popular_listing, general_practice_fit, appointment_flow_signal, email_matches_practice_domain",receptie@pc2-tandartsen.nl; pc2tandartsen@zorgmail.nl,no
3,A,107,core_brainport,Helmond,Tandartsenpraktijk Brouwhuis,"Overloop 50, Helmond",info@tandartsenpraktijkbrouwhuis.nl,0492 511811,http://www.tandartsenpraktijkbrouwhuis.nl/,http://www.tandartsenpraktijkbrouwhuis.nl/contact,https://www.tandarts.nl/tandarts-helmond/tandartsenpraktijk-brouwhuis,585,4.3,51,9.0,2,tandarts_with_mond,True,"start_tariff,report_monitor,call,appointment_request,click,blog_service_quantity_4,blog_service_zuid",official_site_and_email_verified,"official_website, public_email, public_phone, core_region, high_review_volume, popular_listing, general_practice_fit, appointment_flow_signal, email_matches_practice_domain",info@tandartsenpraktijkbrouwhuis.nl,no
4,A,107,core_brainport,Veldhoven,City Mondzorg - Veldhoven,"Horst 18, Veldhoven",info@citymondzorg.nl,+31 040 251 45 27,https://www.citymondzorg.nl,https://www.citymondzorg.nl/contact,https://www.tandarts.nl/tandarts-veldhoven/city-mondzorg-veldhoven,370,4.4,66,9.2,304,tandarts_with_mond,True,"start_tariff,youvia_olm,report_monitor,exquise_service,review_widget,call,appointment,click,blog_service_zuid",official_site_and_email_verified,"official_website, public_email, public_phone, core_region, high_review_volume, popular_listing, general_practice_fit, appointment_flow_signal, email_matches_practice_domain",info@citymondzorg.nl; receptie@citymondzorg.nl,no
5,A,104,core_brainport,Eindhoven,Oud Stratum Tandartsen,"Leenderweg 10, Eindhoven",info@oudstratumtandartsen.nl,040 2111458,https://www.oudstratumtandartsen.nl,https://www.oudstratumtandartsen.nl/contact,https://www.tandarts.nl/tandarts-eindhoven/oud-stratum-tandartsen,152,4.9,149,10.0,3,tandarts_with_mond,True,"start_tariff,youvia_olm,report_monitor,appointment_request,click",official_site_and_email_verified,"official_website, public_email, public_phone, core_region, good_review_volume, popular_listing, general_practice_fit, appointment_flow_signal, email_matches_practice_domain",info@oudstratumtandartsen.nl,no
6,A,104,core_brainport,Eindhoven,Tandartspraktijk De Oude Toren B.V.,"Amundsenlaan 309, Eindhoven",info@tandartspraktijkdeoudetoren.nl,040 291 2682,https://www.tandartspraktijkdeoudetoren.nl,https://www.tandartspraktijkdeoudetoren.nl/contact,https://www.tandarts.nl/tandarts-eindhoven/tandartspraktijk-de-oude-toren-bv,96,3.1,19,,0,tandarts_with_mond,True,"start_tariff,report_monitor,call,appointment_request,appointment,click,blog_service_quantity_4,blog_service_zuid",official_site_and_email_verified,"official_website, public_email, public_phone, core_region, good_review_volume, popular_listing, general_practice_fit, appointment_flow_signal, email_matches_practice_domain",info@tandartspraktijkdeoudetoren.nl; tandartspraktijkdeoudetoren@zorgmail.nl; 500142256@lms.lifeline.nl,no
7,A,102,core_brainport,Best,Dental Clinics Best,"Oirschotseweg 70, Best",best@dentalclinics.nl,+31499392920,https://www.dentalclinics.nl/tandarts/best/,https://www.dentalclinics.nl/tandarts/best/contact,https://www.tandarts.nl/tandarts-best/dental-clinics-best,1113,4.6,362,9.2,497,tandarts_with_mond,True,"start_tariff,report_monitor,click,blog_service_zuid",official_site_and_email_verified,"official_website, public_email, public_phone, core_region, high_review_volume, popular_listing, general_practice_fit, email_matches_practice_domain",best@dentalclinics.nl,no
8,A,101,core_brainport,Eindhoven,Atlas Dental Care Eindhoven,"Ten Hagestraat 10, Eindhoven",info@atlaseindhoven.nl,0402364711,https://atlaseindhoven.nl/contact/,https://atlaseindhoven.nl/contact/contact,https://www.tandarts.nl/tandarts-eindhoven/atlas-dental-care-eindhoven,68,,0,8.3,15,tandarts_with_mond,True,"start_tariff,call,appointment,click,blog_service_zuid",official_site_and_email_verified,"official_website, public_email, public_phone, core_region, some_reviews, popular_listing, general_practice_fit, appointment_flow_signal, email_matches_practice_domain",info@atlaseindhoven.nl,no
9,A,101,core_brainport,Eindhoven,Tandartspraktijk Sibeliuslaan,"Sibeliuslaan 317, Eindhoven",info@tandartssibeliuslaan.nl,0403030967,https://www.tandartssibeliuslaan.nl/,https://www.tandartssibeliuslaan.nl/contact,https://www.tandarts.nl/tandarts-eindhoven/tandartspraktijk-sibeliuslaan,50,4.5,41,9.5,9,tandarts_with_mond,True,"start_tariff,youvia_olm,report_monitor,exquise_service,call,appointment_request,appointment,click",official_site_and_email_verified,"official_website, public_email, public_phone, core_region, some_reviews, popular_listing, general_practice_fit, appointment_flow_signal, email_matches_practice_domain",info@tandartssibeliuslaan.nl,no
10,A,97,core_brainport,Helmond,Tandartsen Helmond,"Zuidende 27, Helmond",info@tandartsenhelmond.nl,0492525288,https://www.tandartsenhelmond.nl,https://www.tandartsenhelmond.nl/contact,https://www.tandarts.nl/tandarts-helmond/tandartsen-helmond,6,,0,9.6,6,tandarts_with_mond,True,"start_tariff,youvia_olm,report_monitor,exquise_service,call,appointment_request,appointment,click,blog_service_zuid",official_site_and_email_verified,"official_website, public_email, public_phone, core_region, popular_listing, general_practice_fit, appointment_flow_signal, email_matches_practice_domain",info@tandartsenhelmond.nl; http://info@tandartsenhelmond.nl,no
