priority_rank,clinic_name,city,contact_email,buyer_role,suggested_search,official_website,status,next_action_date
1,Tandartspraktijk Maashorst,Uden,tandartspraktijkmaashorst@gmail.com,owner_or_practice_manager,"site:linkedin.com/in ""Tandartspraktijk Maashorst"" Uden practice manager OR owner",https://tandartspraktijkmaashorst.nl,sent,2026-04-19
2,Tandgaaf,Bergen op Zoom,info@tandgaaf.nu,owner_or_practice_manager,"site:linkedin.com/in ""Tandgaaf"" Bergen op Zoom practice manager OR owner",https://tandgaaf.nu,sent,2026-04-19
3,Tandartsenpraktijk St.Elisabeths Gasthuis,Arnhem,info@tpeg.nl,owner_or_practice_manager,"site:linkedin.com/in ""Tandartsenpraktijk St.Elisabeths Gasthuis"" Arnhem practice manager OR owner",https://tpeg.nl,sent,2026-04-19
4,Mondzorgpraktijk Zuilen,Utrecht,info@mhzuilen.nl,owner_or_practice_manager,"site:linkedin.com/in ""Mondzorgpraktijk Zuilen"" Utrecht practice manager OR owner",https://www.mhzuilen.nl,sent,2026-04-19
5,Jeugdtandarts Groen - Tandarts Utrecht,Utrecht,info@jeugdtandartsgroen.nl,owner_or_practice_manager,"site:linkedin.com/in ""Jeugdtandarts Groen - Tandarts Utrecht"" Utrecht practice manager OR owner",https://www.jeugdtandartsgroen.nl,sent,2026-04-19
6,Tandheelkunde Vleutenseweg,Utrecht,info@tandheelkundevleutenseweg.nl,owner_or_practice_manager,"site:linkedin.com/in ""Tandheelkunde Vleutenseweg"" Utrecht practice manager OR owner",https://www.tandheelkundigcentrumvleutenseweg.nl/,sent,2026-04-19
7,Tandheelkundig Centrum Contrast,Utrecht,info@thcc.nl,owner_or_practice_manager,"site:linkedin.com/in ""Tandheelkundig Centrum Contrast"" Utrecht practice manager OR owner",https://www.thcc.nl,sent,2026-04-19
8,Studentist Utrecht,Utrecht,utrecht@studentist.nl,owner_or_practice_manager,"site:linkedin.com/in ""Studentist Utrecht"" Utrecht practice manager OR owner",https://www.studentist.nl/tandarts-utrecht,sent,2026-04-19
9,Tandheelkundig centrum Nijmegen,Nijmegen,info@tc-nijmegen.nl,owner_or_practice_manager,"site:linkedin.com/in ""Tandheelkundig centrum Nijmegen"" Nijmegen practice manager OR owner",https://www.tc-nijmegen.nl,sent,2026-04-19
10,Sure Dental Utrecht,Utrecht,info@suredental.nl,owner_or_practice_manager,"site:linkedin.com/in ""Sure Dental Utrecht"" Utrecht practice manager OR owner",https://www.suredental.nl/,sent,2026-04-19
11,Mondzorgcentrum Takenhofplein,Nijmegen,balie@mctp.nl,owner_or_practice_manager,"site:linkedin.com/in ""Mondzorgcentrum Takenhofplein"" Nijmegen practice manager OR owner",https://www.mondzorgcentrumtakenhofplein.nl,sent,2026-04-19
12,Mondzorg de Villa,Nijmegen,info@dental-styling.nl,owner_or_practice_manager,"site:linkedin.com/in ""Mondzorg de Villa"" Nijmegen practice manager OR owner",https://www.dental-styling.nl,sent,2026-04-19
13,Radic Tandartspraktijk,Arnhem,info@tandartspraktijkradic.nl,owner_or_practice_manager,"site:linkedin.com/in ""Radic Tandartspraktijk"" Arnhem practice manager OR owner",https://www.tandartspraktijkradic.nl,sent,2026-04-19
14,Mondzorg Moesel B.V.,Weert,info@mondzorgmoesel.nl,owner_or_practice_manager,"site:linkedin.com/in ""Mondzorg Moesel B.V."" Weert practice manager OR owner",https://www.mondzorgmoesel.nl,sent,2026-04-19
15,Tandartsenpraktijk Swaters & Kremer,Arnhem,info@swaterskremer.nl,owner_or_practice_manager,"site:linkedin.com/in ""Tandartsenpraktijk Swaters & Kremer"" Arnhem practice manager OR owner",https://www.swaterskremer.nl,sent,2026-04-19
16,Tandartspraktijk Knol,Utrecht,balie@tandartspraktijkknol.nl,owner_or_practice_manager,"site:linkedin.com/in ""Tandartspraktijk Knol"" Utrecht practice manager OR owner",https://www.tandartspraktijkknol.nl,sent,2026-04-19
17,Tandheelkunde en Implantologie Praktijk St. Jacobslaan,Nijmegen,info@tcsw.nl,owner_or_practice_manager,"site:linkedin.com/in ""Tandheelkunde en Implantologie Praktijk St. Jacobslaan"" Nijmegen practice manager OR owner",https://tcsw.nl/,sent,2026-04-19
18,Tandgenoten Utrecht Leidsche Rijn,Utrecht,leidscherijn@tandgenoten.nl,owner_or_practice_manager,"site:linkedin.com/in ""Tandgenoten Utrecht Leidsche Rijn"" Utrecht practice manager OR owner",https://tandgenoten.nl/leidscherijn/,sent,2026-04-19
19,Proclin Utrecht,Utrecht,balie@paropraktijk.nl,owner_or_practice_manager,"site:linkedin.com/in ""Proclin Utrecht"" Utrecht practice manager OR owner",https://www.parodontologie-utrecht.nl/,sent,2026-04-19
