lead_rank,region_bucket,city,clinic_name,address,contact_email,contact_phone,official_website,listing_url,quality_tier,quality_score,verification_status,source_file
1,core_brainport,Eindhoven,Dental Clinics Eindhoven,"Kerstrooslaan 2, Eindhoven",eindhoven@dentalclinics.nl,+31402118136,https://www.dentalclinics.nl/tandarts/eindhoven/,https://www.tandarts.nl/tandarts-eindhoven/dental-clinics-eindhoven,A,107,official_site_and_email_verified,brabant-dental-top-100.csv
2,core_brainport,Eindhoven,pc2-tandartsen,"P.Czn. Hooftlaan 2, Eindhoven",receptie@pc2-tandartsen.nl,//040-2930399,https://www.pc2-tandartsen.nl,https://www.tandarts.nl/tandarts-eindhoven/pc2-tandartsen,A,107,official_site_and_email_verified,brabant-dental-top-100.csv
3,core_brainport,Helmond,Tandartsenpraktijk Brouwhuis,"Overloop 50, Helmond",info@tandartsenpraktijkbrouwhuis.nl,0492 511811,http://www.tandartsenpraktijkbrouwhuis.nl/,https://www.tandarts.nl/tandarts-helmond/tandartsenpraktijk-brouwhuis,A,107,official_site_and_email_verified,brabant-dental-top-100.csv
4,core_brainport,Veldhoven,City Mondzorg - Veldhoven,"Horst 18, Veldhoven",info@citymondzorg.nl,+31 040 251 45 27,https://www.citymondzorg.nl,https://www.tandarts.nl/tandarts-veldhoven/city-mondzorg-veldhoven,A,107,official_site_and_email_verified,brabant-dental-top-100.csv
5,core_brainport,Eindhoven,Oud Stratum Tandartsen,"Leenderweg 10, Eindhoven",info@oudstratumtandartsen.nl,040 2111458,https://www.oudstratumtandartsen.nl,https://www.tandarts.nl/tandarts-eindhoven/oud-stratum-tandartsen,A,104,official_site_and_email_verified,brabant-dental-top-100.csv
6,core_brainport,Eindhoven,Tandartspraktijk De Oude Toren B.V.,"Amundsenlaan 309, Eindhoven",info@tandartspraktijkdeoudetoren.nl,040 291 2682,https://www.tandartspraktijkdeoudetoren.nl,https://www.tandarts.nl/tandarts-eindhoven/tandartspraktijk-de-oude-toren-bv,A,104,official_site_and_email_verified,brabant-dental-top-100.csv
7,core_brainport,Best,Dental Clinics Best,"Oirschotseweg 70, Best",best@dentalclinics.nl,+31499392920,https://www.dentalclinics.nl/tandarts/best/,https://www.tandarts.nl/tandarts-best/dental-clinics-best,A,102,official_site_and_email_verified,brabant-dental-top-100.csv
8,core_brainport,Eindhoven,Atlas Dental Care Eindhoven,"Ten Hagestraat 10, Eindhoven",info@atlaseindhoven.nl,0402364711,https://atlaseindhoven.nl/contact/,https://www.tandarts.nl/tandarts-eindhoven/atlas-dental-care-eindhoven,A,101,official_site_and_email_verified,brabant-dental-top-100.csv
9,core_brainport,Eindhoven,Tandartspraktijk Sibeliuslaan,"Sibeliuslaan 317, Eindhoven",info@tandartssibeliuslaan.nl,0403030967,https://www.tandartssibeliuslaan.nl/,https://www.tandarts.nl/tandarts-eindhoven/tandartspraktijk-sibeliuslaan,A,101,official_site_and_email_verified,brabant-dental-top-100.csv
10,core_brainport,Helmond,Tandartsen Helmond,"Zuidende 27, Helmond",info@tandartsenhelmond.nl,0492525288,https://www.tandartsenhelmond.nl,https://www.tandarts.nl/tandarts-helmond/tandartsen-helmond,A,97,official_site_and_email_verified,brabant-dental-top-100.csv
11,core_brainport,Eindhoven,Tandartsen Gestel,"Bennekelstraat 7, Eindhoven",info@tandartsengestel.nl,+310403030020,http://www.tandartsengestel.nl/,https://www.tandarts.nl/tandarts-eindhoven/tandartsen-gestel,A,97,official_site_and_email_verified,brabant-dental-top-100.csv
12,core_brainport,Eindhoven,Praktijk voor parodontologie en implantologie Eindhoven,"Fransebaan 604, Eindhoven",info@paro-eindhoven.nl,0402230444,https://www.paro-eindhoven.nl,https://www.tandarts.nl/tandarts-eindhoven/praktijk-voor-parodontologie-en-implantologie-eindhoven,A,97,official_site_and_email_verified,brabant-dental-top-100.csv
13,core_brainport,Eindhoven,Tandprothetische praktijk de Polders Eindhoven,"Leenderweg 94, Eindhoven",info@depolders.nl,000402541639,https://depolders.nl/tandprothese/,https://www.tandarts.nl/tandarts-eindhoven/tandprothetische-praktijk-de-polders-eindhoven,A,97,official_site_and_email_verified,brabant-dental-top-100.csv
14,core_brainport,Eindhoven,MKA Kliniek Eindhoven,"Ten Hagestraat 10, Eindhoven",info@mkakliniekeindhoven.nl,0859022999,https://www.mkakliniekeindhoven.nl,https://www.tandarts.nl/tandarts-eindhoven/mka-kliniek-eindhoven,A,92,official_site_and_email_verified,brabant-dental-top-100.csv
15,brabant_extended,Tilburg,Smile Mondzorg Tilburg,"Haendellaan 50, Tilburg",info@smilemondzorg.nl,013 455 1674,http://www.smilemondzorg.nl/,https://www.tandarts.nl/tandarts-tilburg/smile-mondzorg-tilburg,A,101,official_site_and_email_verified,brabant-dental-top-100.csv
16,brabant_extended,Tilburg,Tandartsenpraktijk Steenbergen Tilburg B.V.,"Kruisvaardersstraat, Tilburg",tilburg@tandarts-steenbergen.nl,+31135352535,https://www.tandarts-steenbergen.nl,https://www.tandarts.nl/tandarts-tilburg/tandartsenpraktijk-steenbergen-tilburg-bv,A,101,official_site_and_email_verified,brabant-dental-top-100.csv
17,brabant_extended,Breda,Dental Clinics Breda Princenhage,"Pastoor van Spaandonkstraat 3, Breda",breda@dentalclinics.nl,+31765214214,https://www.dentalclinics.nl/tandarts/breda-princenhage/,https://www.tandarts.nl/tandarts-breda/dental-clinics-breda-princenhage,A,101,official_site_and_email_verified,brabant-dental-top-100.csv
18,brabant_extended,Oss,Dental Clinics Oss,"Raadhuislaan 5b, Oss",oss@dentalclinics.nl,+31412646746,https://www.dentalclinics.nl/tandarts/oss/,https://www.tandarts.nl/tandarts-oss/dental-clinics-oss,A,101,official_site_and_email_verified,brabant-dental-top-100.csv
19,brabant_extended,Tilburg,Mondzorg Tilburg West,"Burgemeester van de Mortelplein, Tilburg",contact@mondzorgtilburgwest.nl,//013-5426219,https://mondzorgtilburgwest.nl,https://www.tandarts.nl/tandarts-tilburg/mondzorg-tilburg-west,A,101,official_site_and_email_verified,brabant-dental-top-100.csv
20,brabant_extended,Tilburg,Tandartspraktijk Laugeman,"Conservatoriumlaan 56, Tilburg",info@laugemantandartspraktijk.nl,0134676803,https://www.laugemantandartspraktijk.nl/,https://www.tandarts.nl/tandarts-tilburg/tandartspraktijk-laugeman,A,101,official_site_and_email_verified,brabant-dental-top-100.csv
21,brabant_extended,Tilburg,Dental Clinics Tilburg Reeshof,"Drongelenhof 20, Tilburg",reeshof@dentalclinics.nl,+31135710606,https://www.dentalclinics.nl/tandarts/tilburg-reeshof/,https://www.tandarts.nl/tandarts-tilburg/dental-clinics-tilburg-reeshof,A,101,official_site_and_email_verified,brabant-dental-top-100.csv
22,brabant_extended,Uden,Tandartspraktijk Uden-Zuid B.V.,"Verlengde Velmolen 21, Uden",info@tandartsudenzuid.nl,+31413258280,https://www.tandartsudenzuid.nl/wie-zijn-wij,https://www.tandarts.nl/tandarts-uden/tandartspraktijk-uden-zuid-bv,A,101,official_site_and_email_verified,brabant-dental-top-100.csv
23,brabant_extended,Den Bosch,Centrumtandzorg,"Eekbrouwersweg 4, Den Bosch",administratie@centrumtandzorg.nl,013 234 0880 --,https://centrumtandzorg.nl,https://www.tandarts.nl/tandarts-den-bosch/centrumtandzorg,A,98,official_site_and_email_verified,brabant-dental-top-100.csv
24,brabant_extended,Breda,Tandartspraktijk MC Dent,"Essendonk 7a, Breda",info@mcdent.nl,076 82 00 211,https://www.mcdent.nl/behandelingen/,https://www.tandarts.nl/tandarts-breda/tandartspraktijk-mc-dent,A,98,official_site_and_email_verified,brabant-dental-top-100.csv
25,brabant_extended,Den Bosch,Tandartspraktijk Zuid-Willemsvaart,"Zuid-Willemsvaart 569, Den Bosch",info@tandartspraktijkzuidwillemsvaart.nl,073 6100062,https://tandartspraktijkzuidwillemsvaart.nl,https://www.tandarts.nl/tandarts-den-bosch/tandartspraktijk-zuid-willemsvaart,A,98,official_site_and_email_verified,brabant-dental-top-100.csv
26,brabant_extended,Oss,Tandartsenpraktijk Steenbergen Oss B.V.,"Medicijnstraat 120, Oss",oss@tandarts-steenbergen.nl,0412 – 639 722,https://www.tandarts-steenbergen-oss.nl,https://www.tandarts.nl/tandarts-oss/tandartsenpraktijk-steenbergen-oss-bv,A,96,official_site_and_email_verified,brabant-dental-top-100.csv
27,brabant_extended,Tilburg,Dental Clinics Tilburg Amazone,"Lage Witsiebaan 78, Tilburg",amazone@dentalclinics.nl,+31134670860,https://www.dentalclinics.nl/tandarts/tilburg-amazone/,https://www.tandarts.nl/tandarts-tilburg/dental-clinics-tilburg-amazone,A,96,official_site_and_email_verified,brabant-dental-top-100.csv
28,brabant_extended,Den Bosch,Dental Clinics Empel,"Burgemeesters Godschalxstraat 74, Den Bosch",denbosch-empel@dentalclinics.nl,+31736137742,https://www.dentalclinics.nl/tandarts/empel/,https://www.tandarts.nl/tandarts-den-bosch/dental-clinics-empel,A,95,official_site_and_email_verified,brabant-dental-top-100.csv
29,brabant_extended,Oss,Tandartsenpraktijk Leempoel-Groenewegen,"de Maasvallei 107, Oss",balie@leempoel-groenewegen.nl,+31412691419,https://leempoel-groenewegen.nl,https://www.tandarts.nl/tandarts-oss/tandartsenpraktijk-leempoel-groenewegen,A,95,official_site_and_email_verified,brabant-dental-top-100.csv
30,brabant_extended,Breda,Dental Clinics Breda Belcrum Linie,"Christiaan Huygensstraat 40, Breda",belcrum.linie@dentalclinics.nl,+31765214214,https://www.dentalclinics.nl/tandarts/breda-belcrum-linie/,https://www.tandarts.nl/tandarts-breda/dental-clinics-breda-belcrum-linie,A,93,official_site_and_email_verified,brabant-dental-top-100.csv
31,brabant_extended,Roosendaal,Tandartspraktijk Kroeven,"Kroevenlaan 33, Roosendaal",info@tandartspraktijkkroeven.nl,0165-567969,https://www.tandartspraktijkkroeven.nl/,https://www.tandarts.nl/tandarts-roosendaal/tandartspraktijk-kroeven,A,91,official_site_and_email_verified,brabant-dental-top-100.csv
32,brabant_extended,Bergen op Zoom,Tandartspraktijk Novita,"Boerhaaveplein 9B    , Bergen Op Zoom",info@tpnovita.nl,+0164 30 40 99,https://tpnovita.nl,https://www.tandarts.nl/tandarts-bergen-op-zoom/tandartspraktijk-novita,A,91,official_site_and_email_verified,brabant-dental-top-100.csv
33,brabant_extended,Breda,Tandartsenpraktijk Kieskeurig,"Haagweg 248, Breda",info@tandartsenpraktijk-kieskeurig.nl,+31768891910,https://www.tandartsenpraktijk-kieskeurig.nl/kinderen/,https://www.tandarts.nl/tandarts-breda/tandartsenpraktijk-kieskeurig,A,91,official_site_and_email_verified,brabant-dental-top-100.csv
34,brabant_extended,Den Bosch,Tandartspraktijk de Kooiker,"Kooikersweg 203, Den Bosch",info@dekooiker.nl,+31736217016,https://www.dekooiker.nl,https://www.tandarts.nl/tandarts-den-bosch/tandartspraktijk-de-kooiker,A,91,official_site_and_email_verified,brabant-dental-top-100.csv
35,brabant_extended,Breda,Praktijk voor Parodontologie en Implantologie Breda,"Brederostraat 2b, Breda",infobalie@parobreda.nl,0047864255,https://www.parobreda.nl,https://www.tandarts.nl/tandarts-breda/praktijk-voor-parodontologie-en-implantologie-breda,A,91,official_site_and_email_verified,brabant-dental-top-100.csv
36,brabant_extended,Den Bosch,Tandartspraktijk Zevenhont,"Zevenhontseweg 5, Den Bosch",info@zevenhont.com,+31736417722,https://www.tandartspraktijkzevenhont.nl/,https://www.tandarts.nl/tandarts-den-bosch/tandartspraktijk-zevenhont,A,90,official_site_and_email_verified,brabant-dental-top-100.csv
37,brabant_extended,Uden,Tandartspraktijk Maashorst,"Breukrand 115, Uden",tandartspraktijkmaashorst@gmail.com,0413264490,https://tandartspraktijkmaashorst.nl,https://www.tandarts.nl/tandarts-uden/tandartspraktijk-maashorst,A,90,official_site_and_email_verified,brabant-dental-top-100.csv
38,brabant_extended,Bergen op Zoom,Tandgaaf,"Dubbelstraat 90, Bergen Op Zoom",info@tandgaaf.nu,,https://tandgaaf.nu,https://www.tandarts.nl/tandarts-bergen-op-zoom/tandgaaf,A,86,official_site_and_email_verified,brabant-dental-top-100.csv
39,adjacent_south,Utrecht,Dental Clinics Utrecht Maliebaan,"Maliebaan 44, Utrecht",maliebaan@dentalclinics.nl,+31302310003,https://www.dentalclinics.nl/tandarts/utrecht-maliebaan/,https://www.tandarts.nl/tandarts-utrecht/dental-clinics-utrecht-maliebaan,A,98,official_site_and_email_verified,brabant-dental-top-100.csv
40,adjacent_south,Nijmegen,Tandartspraktijk Bochem Brakkenstein,"Kanunnik Faberstraat 2, Nijmegen",tandarts@bochem.nl,024 323 44 22,https://www.bochem.nl,https://www.tandarts.nl/tandarts-nijmegen/tandartspraktijk-bochem-brakkenstein,A,98,official_site_and_email_verified,brabant-dental-top-100.csv
41,adjacent_south,Utrecht,Dental Clinics Utrecht Oudenoord,"Oudenoord 619-621, Utrecht",oudenoord@dentalclinics.nl,+31302315370,https://www.dentalclinics.nl/tandarts/utrecht-oudenoord/,https://www.tandarts.nl/tandarts-utrecht/dental-clinics-utrecht-oudenoord,A,98,official_site_and_email_verified,brabant-dental-top-100.csv
42,adjacent_south,Utrecht,Boelens Tandartsen,"Amsterdamsestraatweg 591, Utrecht",info@boelenstandartsen.nl,+31302442023,http://www.boelenstandartsen.nl/,https://www.tandarts.nl/tandarts-utrecht/boelens-tandartsen,A,98,official_site_and_email_verified,brabant-dental-top-100.csv
43,adjacent_south,Weert,Tandzorg Oranjeplein,"Nassaulaan 3, Weert",info@tandzorgoranjeplein.nl,0495524261,https://www.tandzorgoranjeplein.nl/,https://www.tandarts.nl/tandarts-weert/tandzorg-oranjeplein,A,95,official_site_and_email_verified,brabant-dental-top-100.csv
44,adjacent_south,Venlo,Tandartspraktijk Wermenbol,"Kraanvogelstraat 2, Venlo",info@tandartswermenbol.nl,0031773526126,https://www.tandartswermenbol.nl,https://www.tandarts.nl/tandarts-venlo/tandartspraktijk-wermenbol,A,95,official_site_and_email_verified,brabant-dental-top-100.csv
45,adjacent_south,Nijmegen,Fortuna Kliniek Voor Tandheelkunde,"Dick Boerrigterplein 2, Nijmegen",info@fortunakliniek.nl,024-2036180,https://www.fortunakliniek.nl,https://www.tandarts.nl/tandarts-nijmegen/fortuna-kliniek-voor-tandheelkunde,A,95,official_site_and_email_verified,brabant-dental-top-100.csv
46,adjacent_south,Utrecht,Tandartspraktijk Bartoklaan,"Bartoklaan 42, Utrecht",post@bartoklaan.nl,//030-2993666,https://www.bartoklaan.nl,https://www.tandarts.nl/tandarts-utrecht/tandartspraktijk-bartoklaan,A,95,official_site_and_email_verified,brabant-dental-top-100.csv
47,adjacent_south,Venlo,Dental Clinics Venlo,"Deken van Oppensingel 9, Venlo",venlo@dentalclinics.nl,+31773513493,https://www.dentalclinics.nl/tandarts/venlo/,https://www.tandarts.nl/tandarts-venlo/dental-clinics-venlo,A,93,official_site_and_email_verified,brabant-dental-top-100.csv
48,adjacent_south,Maastricht,Dental Clinics Maastricht Centrum,"Koningin Emmaplein 10, Maastricht",maastricht@dentalclinics.nl,+31433251545,https://www.dentalclinics.nl/tandarts/maastricht-centrum/,https://www.tandarts.nl/tandarts-maastricht/dental-clinics-maastricht-centrum,A,93,official_site_and_email_verified,brabant-dental-top-100.csv
